region,price,manufacturer,model,cylinders,fuel,odometer,transmission,drive,type,seats,engine_cc,max_power,age
bangalore,1759323,mg motors,hector,4.0,diesel,34997,manual,fwd,suv,,,,3
bangalore,713000,ford,ecosport,4.0,diesel,101159,manual,fwd,suv,,,,7
bangalore,868000,tata,altroz,4.0,diesel,23727,manual,fwd,hatchback,,,,4
bangalore,300000,maruti suzuki,celerio,3.0,petrol,74886,automatic,fwd,hatchback,,,,12
bangalore,337000,maruti suzuki,alto 800,3.0,petrol,34528,manual,fwd,hatchback,,,,8
bangalore,273000,hyundai,i10,4.0,petrol,49426,manual,fwd,hatchback,,,,15
bangalore,1436078,kia,carens,4.0,petrol,19267,manual,fwd,muv,,,,4
bangalore,480000,hyundai,xcent,4.0,petrol,74012,manual,fwd,sedan,,,,8
bangalore,532000,maruti suzuki,alto k10,3.0,petrol,10667,automatic,fwd,hatchback,,,,3
bangalore,368000,honda,brio,4.0,petrol,70717,manual,fwd,hatchback,,,,12
bangalore,314000,maruti suzuki,wagon r,3.0,petrol,75475,manual,fwd,hatchback,,,,12
bangalore,403000,hyundai,xcent,4.0,petrol,65946,manual,fwd,sedan,,,,11
bangalore,721000,hyundai,new i20,3.0,petrol,99662,automatic,fwd,hatchback,,,,5
bangalore,668000,honda,jazz,4.0,petrol,67888,automatic,fwd,hatchback,,,,6
bangalore,204000,maruti suzuki,alto 800,3.0,petrol,120589,manual,fwd,hatchback,,,,13
bangalore,303000,maruti suzuki,wagon r,3.0,petrol,114289,manual,fwd,hatchback,,,,12
bangalore,256000,honda,brio,4.0,petrol,76775,manual,,hatchback,,,,14
bangalore,482000,nissan,micra,3.0,petrol,44042,automatic,fwd,hatchback,,,,9
bangalore,268000,renault,kwid,3.0,petrol,53350,manual,fwd,hatchback,,,,10
bangalore,263000,hyundai,i10,4.0,petrol,88696,manual,fwd,hatchback,,,,14
bangalore,401000,maruti suzuki,celerio,3.0,petrol,43381,automatic,fwd,hatchback,,,,10
bangalore,402000,hyundai,grand i10,4.0,petrol,49029,manual,fwd,hatchback,,,,10
bangalore,257000,hyundai,i10,4.0,petrol,81761,manual,fwd,hatchback,,,,14
bangalore,316000,renault,kwid,3.0,petrol,79269,automatic,fwd,hatchback,,,,9
bangalore,399000,hyundai,grand i10,4.0,petrol,72276,automatic,fwd,hatchback,,,,12
bangalore,356000,renault,kwid,3.0,petrol,55333,automatic,fwd,hatchback,,,,6
bangalore,598000,hyundai,elite i20,4.0,cng,63603,manual,fwd,hatchback,,,,8
bangalore,1297708,mg motors,hector,4.0,petrol,41176,automatic,fwd,suv,,,,6
bangalore,274000,hyundai,i10,4.0,petrol,34109,manual,fwd,hatchback,,,,13
bangalore,360000,maruti suzuki,ritz,4.0,petrol,72743,manual,fwd,hatchback,,,,13
bangalore,280000,hyundai,eon,3.0,petrol,60954,manual,,hatchback,,,,11
bangalore,893000,kia,sonet,4.0,diesel,70535,manual,fwd,suv,,,,6
bangalore,1096000,kia,seltos,4.0,petrol,65981,manual,fwd,suv,,,,7
bangalore,344000,maruti suzuki,celerio,3.0,petrol,74807,automatic,fwd,hatchback,,,,9
bangalore,673000,honda,city,4.0,petrol,50265,automatic,fwd,sedan,,,,11
bangalore,517000,honda,mobilio,4.0,petrol,53708,manual,fwd,muv,,,,11
bangalore,1142000,kia,seltos,4.0,petrol,121649,manual,fwd,suv,,,,6
bangalore,315000,honda,brio,4.0,petrol,30975,manual,,hatchback,,,,14
bangalore,1476523,tata,safari,4.0,diesel,99332,automatic,fwd,suv,,,,4
bangalore,223000,hyundai,eon,3.0,petrol,30793,manual,fwd,hatchback,,,,12
bangalore,1495713,kia,seltos,4.0,diesel,40908,automatic,fwd,suv,,,,4
