type,transmission,fuel,price,engine_cc,max_power,cylinders,seats,model,manufacturer,odometer,region,drive,age
hatchback,manual,cng,375000.0,998.0,58.16,3.0,5.0,wagon r,maruti,45825,new delhi,fwd,9
hatchback,manual,cng,490000.00000000006,998.0,58.33,3.0,5.0,wagon r,maruti,70000,sahibabad,fwd,6
minivans,manual,cng,450000.0,1196.0,73.0,4.0,5.0,eeco,maruti,46000,gurgaon,rwd,8
hatchback,manual,cng,540000.0,998.0,58.33,3.0,5.0,celerio,maruti,95000,gurgaon,fwd,6
,manual,cng,626000.0,1197.0,70.67,4.0,5.0,eeco,maruti,20000,latur,,4
minivans,manual,cng,440000.00000000006,1196.0,61.7,4.0,5.0,eeco,maruti,40000,gandhinagar,rwd,8
hatchback,manual,cng,271000.0,998.0,58.2,3.0,5.0,wagon r,maruti,65337,pune,fwd,14
hatchback,manual,cng,160000.0,998.0,67.1,3.0,5.0,zen estilo,maruti,45022,ahmedabad,fwd,16
minivans,manual,cng,370000.0,1196.0,61.7,4.0,5.0,eeco,maruti,70000,sonipat,rwd,7
hatchback,manual,cng,264000.0,998.0,58.16,3.0,5.0,wagon r,maruti,51382,new delhi,fwd,11
sedan,manual,cng,130000.0,1495.0,94.0,4.0,5.0,accent,hyundai,120000,thane,,16
hatchback,manual,cng,600000.0,998.0,58.33,3.0,5.0,wagon r,maruti,12000,allahabad,fwd,6
hatchback,manual,cng,254999.99999999997,998.0,58.2,3.0,5.0,wagon r,maruti,120000,thane,fwd,14
hatchback,manual,cng,155000.0,998.0,58.2,3.0,5.0,wagon r,maruti,89558,new delhi,fwd,15
minivans,manual,cng,475000.0,1196.0,61.7,4.0,5.0,eeco,maruti,28000,thane,rwd,7
hatchback,manual,cng,465000.00000000006,998.0,58.2,3.0,5.0,celerio,maruti,42000,mumbai,fwd,10
hatchback,manual,cng,110000.00000000001,796.0,38.4,3.0,5.0,alto,maruti,90000,aurangabad,two wheel drive,15
hatchback,manual,cng,438999.99999999994,998.0,58.16,3.0,5.0,wagon r,maruti,53959,pune,fwd,8
hatchback,manual,cng,319000.0,998.0,58.16,3.0,5.0,wagon r,maruti,51413,pune,fwd,12
